"by Offense Category, 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Offense Category,"Total
Victims1",Age ,,,,,,,,,,,,,
Total,9715061,161808,313727.0,642246.0,1055358.0,1136941.0,1132001.0,1001060.0,848189.0,703884.0,654694.0,598804.0,479802.0,835611.0,150936.0
Crimes Against Persons,3456189,145725,272605.0,346638.0,420370.0,436189.0,423128.0,354483.0,277881.0,207148.0,175579.0,143857.0,96851.0,113436.0,42299.0
Assault Offenses,3187575,104040,210017.0,300568.0,393342.0,414940.0,404453.0,339714.0,267251.0,199850.0,170264.0,139937.0,94304.0,109263.0,39632.0
Homicide Offenses,18785,702,473.0,2468.0,2597.0,2534.0,2332.0,1847.0,1427.0,1062.0,874.0,744.0,570.0,945.0,210.0
Human Trafficking Offenses,2691,102,588.0,712.0,338.0,228.0,185.0,144.0,83.0,47.0,36.0,24.0,3.0,11.0,190.0
Kidnapping/Abduction,43083,4289,2627.0,4797.0,6442.0,6088.0,5526.0,4346.0,3078.0,1950.0,1397.0,903.0,543.0,782.0,315.0
Sex Offenses,204055,36592,58900.0,38093.0,17651.0,12399.0,10632.0,8432.0,6042.0,4239.0,3008.0,2249.0,1431.0,2435.0,1952.0
Crimes Against Property,6258872,16083,41122.0,295608.0,634988.0,700752.0,708873.0,646577.0,570308.0,496736.0,479115.0,454947.0,382951.0,722175.0,108637.0
Bribery,515,9,26.0,60.0,72.0,73.0,77.0,39.0,41.0,36.0,14.0,13.0,7.0,11.0,37.0
Burglary/Breaking & Entering,578164,2591,2927.0,19887.0,49849.0,59183.0,63094.0,59799.0,53449.0,47653.0,47088.0,46526.0,40424.0,77290.0,8404.0
Counterfeiting/Forgery,78480,112,111.0,1712.0,3184.0,4132.0,5060.0,5580.0,5791.0,5963.0,6679.0,7360.0,7672.0,22337.0,2787.0
Destruction/Damage/Vandalism,1225891,2588,4258.0,56076.0,128389.0,143014.0,144377.0,133341.0,117317.0,100164.0,95536.0,88137.0,73399.0,119564.0,19731.0
Embezzlement,8800,9,16.0,197.0,372.0,608.0,708.0,791.0,828.0,722.0,805.0,778.0,733.0,1952.0,281.0
Extortion/Blackmail,20608,45,1905.0,6851.0,3528.0,1693.0,1288.0,1058.0,908.0,750.0,635.0,520.0,478.0,852.0,97.0
Fraud Offenses,753459,1196,1953.0,29350.0,55682.0,64905.0,72015.0,69125.0,64000.0,59469.0,59908.0,59842.0,56632.0,145392.0,13990.0
Larceny/Theft Offenses,2619852,5496,23094.0,136566.0,290201.0,307962.0,304299.0,271791.0,235848.0,202782.0,194738.0,182275.0,151457.0,274957.0,38386.0
Motor Vehicle Theft,676806,686,401.0,21719.0,68745.0,84499.0,84716.0,76015.0,67503.0,57863.0,54781.0,50673.0,38768.0,60149.0,10288.0
Robbery,168132,946,5684.0,18748.0,24492.0,22166.0,19905.0,16809.0,13751.0,11017.0,9925.0,9107.0,6649.0,7675.0,1258.0
Stolen Property Offenses,105312,1921,429.0,3779.0,9181.0,10713.0,11000.0,9873.0,8628.0,8233.0,7230.0,7717.0,5276.0,9265.0,12067.0
